Barangay,Year,Month,Date,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Model_Used
Daang Bakal,2025,12,2025-12-01,0.066990,-0.341158,0.727982,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,1,2026-01-01,0.066819,-0.341258,0.727692,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,2,2026-02-01,0.066629,-0.341370,0.727372,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,3,2026-03-01,0.066206,-0.341627,0.726673,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,4,2026-04-01,0.066280,-0.341576,0.726781,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,5,2026-05-01,0.066102,-0.341681,0.726480,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,6,2026-06-01,0.059291,-0.345883,0.715436,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,7,2026-07-01,0.065168,-0.342249,0.724944,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,8,2026-08-01,0.065012,-0.342341,0.724678,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,9,2026-09-01,0.064819,-0.342455,0.724354,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2026,10,2026-10-01,0.064644,-0.342559,0.724058,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Hagdang Bato Itaas,2025,10,2025-10-01,0.016361,-0.315097,0.508228,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2025,11,2025-11-01,0.003819,-0.323616,0.489765,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2025,12,2025-12-01,0.000896,-0.325590,0.485435,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,1,2026-01-01,0.000210,-0.326052,0.484418,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,2,2026-02-01,0.000049,-0.326160,0.484179,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
Hagdang Bato Itaas,2026,3,2026-03-01,0.000012,-0.326186,0.484123,Very Low,SARIMAX(1, 0, 0)(1, 0, 0, 12)
