id,barangay,record_type,date,value,created_at,updated_at
5603,"Hulo","forecast","""2026-03-31T16:00:00.000Z""","0.364",,
5604,"Hulo","forecast","""2026-04-30T16:00:00.000Z""","0.364",,
5605,"Hulo","forecast","""2026-05-31T16:00:00.000Z""","0.36",,
5606,"Hulo","forecast","""2026-06-30T16:00:00.000Z""","0.364",,
5607,"Hulo","forecast","""2026-07-31T16:00:00.000Z""","0.364",,
5608,"Hulo","forecast","""2026-08-31T16:00:00.000Z""","0.364",,
5609,"Mabini J. Rizal","forecast","""2025-09-30T16:00:00.000Z""","0.04",,
5610,"Mabini J. Rizal","forecast","""2025-10-31T16:00:00.000Z""","0.04",,
5611,"Mabini J. Rizal","forecast","""2025-11-30T16:00:00.000Z""","0.047",,
5612,"Mabini J. Rizal","forecast","""2025-12-31T16:00:00.000Z""","0.039",,
5613,"Mabini J. Rizal","forecast","""2026-01-31T16:00:00.000Z""","0.039",,
5614,"Mabini J. Rizal","forecast","""2026-02-28T16:00:00.000Z""","0.039",,
5615,"Mabini J. Rizal","forecast","""2026-03-31T16:00:00.000Z""","0.039",,
5616,"Mabini J. Rizal","forecast","""2026-04-30T16:00:00.000Z""","0.038",,
5617,"Mabini J. Rizal","forecast","""2026-05-31T16:00:00.000Z""","0.038",,
5618,"Mabini J. Rizal","forecast","""2026-06-30T16:00:00.000Z""","0.038",,
5619,"Mabini J. Rizal","forecast","""2026-07-31T16:00:00.000Z""","0.045",,
5620,"Mabini J. Rizal","forecast","""2026-08-31T16:00:00.000Z""","0.038",,
5621,"Malamig","forecast","""2025-09-30T16:00:00.000Z""","0.293",,
5622,"Malamig","forecast","""2025-10-31T16:00:00.000Z""","0.135",,
5623,"Malamig","forecast","""2025-11-30T16:00:00.000Z""","0.308",,
5624,"Malamig","forecast","""2025-12-31T16:00:00.000Z""","0.153",,
5625,"Malamig","forecast","""2026-01-31T16:00:00.000Z""","0.163",,
5626,"Malamig","forecast","""2026-02-28T16:00:00.000Z""","0.162",,
5627,"Malamig","forecast","""2026-03-31T16:00:00.000Z""","0.162",,
5628,"Malamig","forecast","""2026-04-30T16:00:00.000Z""","0.169",,
5629,"Malamig","forecast","""2026-05-31T16:00:00.000Z""","0.162",,
5630,"Malamig","forecast","""2026-06-30T16:00:00.000Z""","0.163",,
5631,"Malamig","forecast","""2026-07-31T16:00:00.000Z""","0.158",,
5632,"Malamig","forecast","""2026-08-31T16:00:00.000Z""","0.162",,
5633,"Mauway","forecast","""2025-09-30T16:00:00.000Z""","0.117",,
5634,"Mauway","forecast","""2025-10-31T16:00:00.000Z""","0.127",,
5635,"Mauway","forecast","""2025-11-30T16:00:00.000Z""","0.167",,
5636,"Mauway","forecast","""2025-12-31T16:00:00.000Z""","0.122",,
5637,"Mauway","forecast","""2026-01-31T16:00:00.000Z""","0.124",,
5638,"Mauway","forecast","""2026-02-28T16:00:00.000Z""","0.124",,
5639,"Mauway","forecast","""2026-03-31T16:00:00.000Z""","0.124",,
5640,"Mauway","forecast","""2026-04-30T16:00:00.000Z""","0.133",,
5641,"Mauway","forecast","""2026-05-31T16:00:00.000Z""","0.124",,
5642,"Mauway","forecast","""2026-06-30T16:00:00.000Z""","0.124",,
5643,"Mauway","forecast","""2026-07-31T16:00:00.000Z""","0.103",,
5644,"Mauway","forecast","""2026-08-31T16:00:00.000Z""","0.124",,
5645,"Namayan","forecast","""2025-09-30T16:00:00.000Z""","0.046",,
