id,barangay_name,month,year,predicted_cases,lower_bound,upper_bound,risk_level,risk_flag,created_at,updated_at,model_used,confidence_interval
4463,"Hagdang Bato Libis",6,2026,"0.063","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4464,"Hagdang Bato Libis",7,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4465,"Hagdang Bato Libis",8,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4466,"Hagdang Bato Libis",9,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4467,"Harapin ang Bukas",10,2025,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4469,"Harapin ang Bukas",12,2025,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4470,"Harapin ang Bukas",1,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4471,"Harapin ang Bukas",2,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4472,"Harapin ang Bukas",3,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4473,"Harapin ang Bukas",4,2026,"0.068","0","0.56","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4474,"Harapin ang Bukas",5,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4475,"Harapin ang Bukas",6,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4476,"Harapin ang Bukas",7,2026,"0.067","0","0.558","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4477,"Harapin ang Bukas",8,2026,"0.067","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4478,"Harapin ang Bukas",9,2026,"0.068","0","0.559","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4479,"Highway Hills",10,2025,"0.895","0","3.973","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4481,"Highway Hills",12,2025,"0.857","0","3.95","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4482,"Highway Hills",1,2026,"0.922","0","4.163","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4483,"Highway Hills",2,2026,"0.895","0","4.132","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4484,"Highway Hills",3,2026,"0.902","0","4.189","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4485,"Highway Hills",4,2026,"0.895","0","4.211","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4486,"Highway Hills",5,2026,"0.895","0","4.251","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4487,"Highway Hills",6,2026,"0.885","0","4.281","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4488,"Highway Hills",7,2026,"0.887","0","4.324","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4489,"Highway Hills",8,2026,"0.886","0","4.364","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4490,"Highway Hills",9,2026,"0.898","0","4.441","Medium","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4491,"Hulo",10,2025,"0.37","0","2.58","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4493,"Hulo",12,2025,"0.345","0","2.544","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4494,"Hulo",1,2026,"0.353","0","2.582","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4495,"Hulo",2,2026,"0.357","0","2.601","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4496,"Hulo",3,2026,"0.363","0","2.631","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4497,"Hulo",4,2026,"0.364","0","2.647","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4498,"Hulo",5,2026,"0.364","0","2.661","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4499,"Hulo",6,2026,"0.36","0","2.666","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4500,"Hulo",7,2026,"0.364","0","2.69","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4501,"Hulo",8,2026,"0.364","0","2.704","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4502,"Hulo",9,2026,"0.364","0","2.718","Low-Moderate","true","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4503,"Mabini J. Rizal",10,2025,"0.04","0","0.637","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
